"pointID","scenario","year","mat","map","gsp","mtcm","mmin","mtwm","mmax","sday","ffp","dd5","gsdd5","d100","dd0","smrpb","smrsprpb","mukey","SP_PA","SP_IV","SA_PA","SA_IV","LL_PA","LL_IV","PD_PA","PD_IV","LP_PA","LP_IV","SI","SISP","r_SDI"
37,"HADCM3_B2",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811283",0.075,0.194663013150691,0.185,0.123519908811323,0.435,4.22561944210307,0.795,0.415326370586565,0.72,14.0144054574228,65.9989666666667,"PIPA2",1
37,"HADCM3_B2",2030,17.2,1182,652,5,-1.4,28.3,34.4,87,230,4566,4043,47,15,1.16,1.43,"811283",0.195,2.45568258288886,0.1,2.08650681303778,0.145,7.68777680330344,0.325,1.52231847773073,0.37,20.5240178229879,79.0923666666667,"PIPA2",0.717554264165183
37,"HADCM3_B2",2060,17.8,1337,762,7.2,0.4,28.5,34.7,84,236,4732,4115,36,2,1.49,1.75,"811283",0.145,1.8055025465407,0.22,5.16706655597027,0.38,14.945603208313,0.57,14.6433170794503,0.585,28.7760241238735,77.1715666666666,"PIPA2",0.895290638644995
37,"HADCM3_B2",2090,19,1321,729,5.6,-1.3,30,36.2,70,259,5188,4760,40,7,1.43,1.6,"811283",0.215,7.61204079113519,0.22,6.41969525961909,0.27,18.4572976048394,0.38,14.8293273773309,0.395,33.9060167950823,80.5489333333333,"PIPA2",0.776008559908613
38,"CGCM3_A1B",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
38,"CGCM3_A1B",2030,16.9,1247,685,4.6,-1.5,27.3,32.9,87,233,4475,3934,54,14,1.24,1.59,"811250",0.255,3.32312873398607,0.26,3.71929535566939,0.46,13.6035358297972,0.565,1.7865865918422,0.63,43.4678942201864,77.3060333333333,"PIPA2",0.890085597919812
38,"CGCM3_A1B",2060,18.4,1214,630,6.3,0.2,28.5,34.6,74,247,4931,4402,38,4,1.23,1.6,"811250",0.36,6.0217311582506,0.305,3.05656743110801,0.26,10.1259856679976,0.38,3.52925174420574,0.715,44.1471381395663,82.6389666666666,"PIPA2",0.931829188963802
38,"CGCM3_A1B",2090,18.8,1303,683,5.8,-0.3,29.2,35.3,73,251,5096,4616,40,6,1.25,1.66,"811250",0.36,7.33009342271894,0.28,3.60180886518741,0.325,12.7112490941358,0.355,9.27562224136849,0.465,44.560634946105,82.4707,"PIPA2",0.806241302207296
38,"CGCM3_A2",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
38,"CGCM3_A2",2030,17.5,1181,647,5.2,-1,27.6,33.9,84,232,4645,4052,50,10,1.36,1.72,"811250",0.23,2.03952248334078,0.29,1.81930119656276,0.31,6.61054028834622,0.505,3.61238507058462,0.64,38.6445939433112,80.4563666666667,"PIPA2",0.889906121766904
38,"CGCM3_A2",2060,18,1263,661,5.7,-0.4,28.8,35,81,240,4827,4307,43,7,1.29,1.76,"811250",0.285,6.37470075818581,0.275,5.823570441143,0.235,8.70904219876964,0.34,8.91177665167761,0.62,41.1437309167487,82.3191666666666,"PIPA2",0.871900020147675
38,"CGCM3_A2",2090,20.1,1170,648,7.1,1.1,30.4,36.6,58,275,5559,5151,34,1,1.37,1.99,"811250",0.33,4.57696256073746,0.315,13.0780241829663,0.205,16.071818981877,0.335,7.4007917793722,0.42,36.7413066622621,79.3229,"PIPA2",0.774997594741799
38,"CGCM3_B1",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
38,"CGCM3_B1",2030,17.1,1163,635,3.9,-2.5,27.4,33.6,87,228,4532,3979,56,19,1.5,2,"811250",0.29,3.51048544788187,0.18,7.47614508327689,0.21,5.9517560501677,0.32,6.27934301726047,0.34,24.4683132625663,78.1353666666667,"PIPA2",0.707038231736373
38,"CGCM3_B1",2060,17.5,1180,655,5.4,-0.8,27.7,33.5,84,231,4644,4072,42,10,1.18,1.48,"811250",0.285,1.91729522893911,0.275,1.36959278372236,0.435,5.62337918008425,0.51,0.929492744260989,0.675,37.3862043568945,80.1176666666667,"PIPA2",0.910156374322942
38,"CGCM3_B1",2090,17.8,1283,707,6.5,0.2,28,33.6,83,234,4736,4150,40,4,1.32,1.41,"811250",0.25,2.56467833397587,0.26,1.90299482147611,0.575,14.7512052204469,0.595,2.6918301305732,0.805,41.7603872056312,78.1396333333333,"PIPA2",0.964920367190111
38,"GFDLCM21_A2",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811250",0.155,0.117052254662235,0.235,0.116847404220671,0.935,31.1119433581515,0.815,0.149406671844121,0.855,37.7270676848906,66.579,"PIPA2",1
38,"GFDLCM21_A2",2030,17.1,1348,765,5.6,-0.9,27,32.8,86,230,4493,3921,46,7,1.28,1.58,"811250",0.16,0.802387321215739,0.3,2.2787356558788,0.725,7.29317242773923,0.685,4.95177009456407,0.86,48.9207668718915,75.6564952380952,"PIPA2",0.979967168379366
38,"GFDLCM21_A2",2060,17.9,1324,766,5.7,-0.8,28.5,34.3,80,244,4794,4290,47,6,1.51,1.82,"811250",0.23,6.03388380235811,0.335,7.18438319466473,0.355,21.4520477125308,0.49,12.7514787489027,0.58,41.230191875296,74.0422333333332,"PIPA2",0.861932696459667
